Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
NUMA1		ENSG00000137497	Nuclear mitotic apparatus protein 1	11	72002864-72080693	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA019841, HPA019859, HPA029912	Enhanced		Enhanced	Nucleoplasm	Renal cancer:7.92e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 247.9	Expressed in all		
NUP214	CAIN, CAN, D9S46E, N214	ENSG00000126883	Nucleoporin 214	9	131125561-131234670	Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA048789			Supported	Nucleus<br>Vesicles<br>Focal adhesion sites	Renal cancer:2.39e-5 (favourable)	Expressed in all	Expressed in all			testis: 123.0	Expressed in all		
NUP98	NUP96	ENSG00000110713	Nucleoporin 98	11	3671083-3797792	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA074810			Supported	Nucleoplasm<br>Vesicles		Expressed in all	Expressed in all			testis: 150.7	Expressed in all		
NUTM1	C15orf55, DKFZp434O192, FAM22H, NUT	ENSG00000184507	NUT midline carcinoma family member 1	15	34343315-34357737	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA040421	Enhanced					Not detected	Tissue enriched	78	testis: 22.5	duodenum,skin: 0.2	Not detected		
NUTM2A	FAM22A	ENSG00000184923	NUT family member 2A	10	87225448-87236908	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level							Not detected	Mixed			skin: 1.9	Cell line enhanced		HMC-1: 8.3
NUTM2B	bA119F19.1, FAM22B	ENSG00000188199	NUT family member 2B	10	79703227-79714681	Cancer-related genes, Predicted intracellular proteins	Evidence at transcript level							Not detected	Mixed			testis: 2.2	Mixed		
OLIG2	BHLHB1, bHLHe19, OLIGO2, PRKCBP2, RACK17	ENSG00000205927	Oligodendrocyte transcription factor 2	21	33025845-33029196	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003254, CAB019381	Enhanced		Uncertain	Nucleoplasm<br>Plasma membrane		Tissue enriched	Tissue enriched	245	cerebral cortex: 91.0	duodenum: 0.3	Cell line enhanced		HMC-1: 46.5;NB-4: 25.3;THP-1: 23.2;WM-115: 10.9
OMD	osteoadherin, SLRR2C	ENSG00000127083	Osteomodulin	9	92414245-92424461	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA005731, HPA069948		Approved	Approved	Nucleoli fibrillar center<br>Endoplasmic reticulum		Mixed	Mixed			cervix, uterine: 36.4	Group enriched	13	ASC diff: 6.2;ASC TERT1: 5.9
P2RY8	P2Y8	ENSG00000182162	Purinergic receptor P2Y8	X	1462572-1537107	Cancer-related genes, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA003631	Enhanced				Head and neck cancer:7.80e-5 (favourable), Liver cancer:1.73e-4 (favourable), Pancreatic cancer:6.54e-4 (favourable)	Expressed in all	Tissue enhanced		lymph node: 47.6	tonsil: 31.3	Cell line enhanced		Daudi: 87.1;U-266/70: 75.0;U-698: 136.4
PAFAH1B2		ENSG00000168092	Platelet activating factor acetylhydrolase 1b catalytic subunit 2	11	117144267-117176894	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA051836	Approved		Supported	Nucleoli<br>Plasma membrane<br>Cytosol	Pancreatic cancer:7.79e-5 (unfavourable), Lung cancer:3.07e-4 (unfavourable), Ovarian cancer:4.25e-4 (favourable), Liver cancer:9.44e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 68.2	Expressed in all		
PATZ1	dJ400N23, MAZR, PATZ, RIAZ, ZBTB19, ZNF278, ZSG	ENSG00000100105	POZ/BTB and AT hook containing zinc finger 1	22	31325804-31346232	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA047893, HPA048315	Approved		Supported	Nucleoplasm	Renal cancer:8.54e-8 (favourable), Urothelial cancer:7.79e-6 (favourable), Glioma:6.53e-5 (favourable), Lung cancer:8.71e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 40.4	Expressed in all		
PAX3	HUP2, WS1	ENSG00000135903	Paired box 3	2	222199888-222298996	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA063659, HPA069000	Approved		Supported	Nucleoplasm		Tissue enriched	Group enriched	8	breast: 1.2;skeletal muscle: 1.1;skin: 3.2;testis: 2.4	prostate: 0.2	Cell line enhanced		BJ hTERT+ SV40 Large T+: 9.6;BJ hTERT+ SV40 Large T+ RasG12V: 11.6;RH-30: 16.2;SK-MEL-30: 24.6
PAX5	BSAP	ENSG00000196092	Paired box 5	9	36833275-37034185	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB026269, CAB026869, HPA056394, HPA068498	Enhanced		Approved	Nucleoplasm<br>Vesicles<br>Cytosol		Mixed	Tissue enhanced		lymph node: 48.5;spleen: 26.2;tonsil: 33.2	appendix: 19.5	Group enriched	6	Daudi: 48.5;REH: 181.0;U-698: 61.2
PAX7	Hup1	ENSG00000009709	Paired box 7	1	18631006-18748866	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level							Group enriched	Group enriched	7	cerebral cortex: 1.3;skeletal muscle: 2.2	esophagus,testis: 0.2	Group enriched	7	A549: 1.3;CAPAN-2: 1.4;U-2 OS: 3.5
PAX8		ENSG00000125618	Paired box 8	2	113215997-113278950	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA030062, CAB055097, CAB061888, HPA064554	Enhanced		Enhanced	Nucleoplasm	Endometrial cancer:1.75e-5 (unfavourable)	Group enriched	Tissue enriched	10	thyroid gland: 644.0	kidney: 65.2	Group enriched	8	EFO-21: 76.3;RPTEC TERT1: 144.9
PBRM1	BAF180, PB1	ENSG00000163939	Polybromo 1	3	52545352-52685917	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA015629, HPA059373	Uncertain		Supported	Nucleoplasm		Expressed in all	Expressed in all			thyroid gland: 44.7	Expressed in all		
PBX1		ENSG00000185630	PBX homeobox 1	1	164555584-164899296	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003505, HPA003881, CAB018768	Supported		Enhanced	Nucleoplasm		Mixed	Expressed in all			endometrium: 248.2	Cell line enhanced		SK-BR-3: 173.0
PCM1	PTC4	ENSG00000078674	Pericentriolar material 1	8	17922840-18029944	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA023370, HPA023374, CAB058695	Enhanced		Enhanced	Nuclear membrane<br>Centrosome<br>Cytosol		Expressed in all	Expressed in all			testis: 277.4	Expressed in all		
PCSK7	LPC, PC7, PC8, SPC7	ENSG00000160613	Proprotein convertase subtilisin/kexin type 7	11	117204337-117232525	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA043181, HPA052957			Uncertain	Nucleus<br>Nuclear membrane<br>Nucleoli		Expressed in all	Expressed in all			endometrium: 75.4	Expressed in all		
PDCD1LG2	B7-DC, bA574F11.2, Btdc, CD273, PD-L2, PDL2	ENSG00000197646	Programmed cell death 1 ligand 2	9	5510570-5571254	Cancer-related genes, CD markers, Predicted membrane proteins	Evidence at protein level	HPA013411	Approved		Approved	Cytosol	Renal cancer:1.15e-4 (unfavourable)	Mixed	Tissue enhanced		spleen: 21.5	lymph node: 12.0	Cell line enhanced		BJ: 62.0;BJ hTERT+: 93.1;HDLM-2: 83.9
PDE4DIP	CMYA2, KIAA0454, KIAA0477, MMGL	ENSG00000178104	Phosphodiesterase 4D interacting protein	1	148808181-149048286	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA008162, HPA012678	Uncertain		Supported	Golgi apparatus		Expressed in all	Expressed in all			skeletal muscle: 766.6	Expressed in all		
PDGFB	SIS, SSV	ENSG00000100311	Platelet derived growth factor subunit B	22	39223359-39244751	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB011604, HPA011972, CAB018341	Supported		Approved	Vesicles	Lung cancer:3.67e-5 (unfavourable)	Expressed in all	Tissue enhanced		placenta: 59.7	lung: 28.6	Cell line enhanced		EFO-21: 65.2;HUVEC TERT2: 45.3;SK-BR-3: 40.1;TIME: 55.5
PDGFRA	CD140a, GAS9, PDGFR2	ENSG00000134853	Platelet derived growth factor receptor alpha	4	54229097-54298247	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA004947, CAB018143	Supported		Supported	Nucleus<br>Plasma membrane<br>Cell Junctions	Renal cancer:9.79e-6 (unfavourable), Head and neck cancer:9.33e-4 (favourable)	Expressed in all	Expressed in all			ovary: 222.6	Cell line enhanced		ASC diff: 306.3;ASC TERT1: 145.3;BJ hTERT+: 217.9;fHDF/TERT166: 147.1;HHSteC: 126.5;HSkMC: 276.0
PDGFRB	CD140b, JTK12, PDGFR, PDGFR1	ENSG00000113721	Platelet derived growth factor receptor beta	5	150113837-150155872	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB003842, CAB018144, HPA028499	Enhanced		Supported	Golgi apparatus<br>Vesicles	Renal cancer:5.87e-8 (unfavourable), Urothelial cancer:8.11e-4 (unfavourable)	Expressed in all	Mixed			gallbladder: 193.8	Cell line enhanced		ASC diff: 923.6;ASC TERT1: 324.4
PER1	PER, RIGUI	ENSG00000179094	Period circadian clock 1	17	8140472-8156506	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA047947, HPA067064			Supported	Nucleoplasm<br>Cytosol	Stomach cancer:1.94e-4 (unfavourable), Liver cancer:2.56e-4 (favourable), Cervical cancer:3.89e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 70.3	Expressed in all		
PHF6	BFLS, BORJ, CENP-31, KIAA1823, MGC14797	ENSG00000156531	PHD finger protein 6	X	134373253-134428791	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA001023	Enhanced		Enhanced	Nucleus<br>Nucleoli	Liver cancer:3.38e-4 (unfavourable), Pancreatic cancer:9.96e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 41.7	Expressed in all		
PHOX2B	NBPhox, Phox2b, PMX2B	ENSG00000109132	Paired like homeobox 2b	4	41744082-41748970	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA074325, HPA074941			Enhanced	Nucleoplasm		Not detected	Tissue enriched	8	adrenal gland: 10.3	small intestine: 1.2	Cell line enriched	92	SH-SY5Y: 130.2
PICALM	CALM, CLTH	ENSG00000073921	Phosphatidylinositol binding clathrin assembly protein	11	85957684-86069882	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA019053, HPA019061	Enhanced		Supported	Vesicles	Renal cancer:2.02e-6 (favourable), Pancreatic cancer:6.61e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 297.2	Expressed in all		
PIK3CA	PI3K	ENSG00000121879	Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	3	179148114-179240093	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	HPA009985, CAB017804	Approved		Approved	Cytosol		Expressed in all	Mixed			parathyroid gland: 23.8	Expressed in all		
PIK3R1	GRB1, p85, p85-ALPHA	ENSG00000145675	Phosphoinositide-3-kinase regulatory subunit 1	5	68215720-68301821	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	HPA001216, CAB004268	Approved		Approved	Cytosol	Liver cancer:8.09e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 132.9	Expressed in all		
PIM1	PIM	ENSG00000137193	Pim-1 proto-oncogene, serine/threonine kinase	6	37170203-37175426	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA003941, CAB017040	Uncertain		Supported	Nucleoli<br>Cytosol	Endometrial cancer:9.73e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 133.9	Expressed in all		
PLAG1	ZNF912	ENSG00000181690	PLAG1 zinc finger	8	56160904-56211324	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA072290			Supported	Nuclear speckles		Mixed	Mixed			ovary: 5.9	Mixed		
PLCG1	NCKAP3, PLC-II, PLC1, PLC148, PLCgamma1	ENSG00000124181	Phospholipase C gamma 1	20	41136960-41196801	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB004277, HPA036681, HPA036682	Approved		Supported	Cytosol	Pancreatic cancer:4.72e-4 (favourable)	Expressed in all	Expressed in all			endometrium: 47.6	Expressed in all		
PML	MYL, RNF71, TRIM19	ENSG00000140464	Promyelocytic leukemia	15	73994673-74047812	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA008312, CAB010194, CAB016304	Supported		Enhanced	Nuclear bodies	Renal cancer:6.27e-8 (unfavourable), Breast cancer:3.24e-4 (favourable), Pancreatic cancer:3.29e-4 (unfavourable)	Expressed in all	Expressed in all			adipose tissue: 45.1	Expressed in all		
POLE	POLE1	ENSG00000177084	DNA polymerase epsilon, catalytic subunit	12	132623753-132687365	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA058210, HPA067385			Enhanced	Nucleus<br>Plasma membrane	Renal cancer:3.19e-8 (unfavourable), Melanoma:1.44e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 22.1	Expressed in all		
POT1	DKFZp586D211, hPot1	ENSG00000128513	Protection of telomeres 1	7	124822386-124929983	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA068538			Supported	Nucleus		Expressed in all	Mixed			thyroid gland: 21.6	Expressed in all		
POU2AF1	BOB1, OBF1	ENSG00000110777	POU class 2 associating factor 1	11	111352252-111455630	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB011193	Enhanced				Cervical cancer:1.63e-4 (favourable), Breast cancer:1.68e-4 (favourable), Head and neck cancer:3.59e-4 (favourable)	Mixed	Tissue enhanced		lymph node: 101.7;tonsil: 93.7	appendix: 55.5	Cell line enhanced		Daudi: 190.2;Karpas-707: 212.1;U-266/70: 217.7;U-698: 374.3
POU5F1	MGC22487, OCT3, Oct4, OTF3	ENSG00000204531	POU class 5 homeobox 1	6	31164337-31180731	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB025600, CAB026380, HPA058267	Approved		Supported	Nucleoplasm<br>Cytosol	Urothelial cancer:2.04e-5 (favourable)	Tissue enriched	Mixed			fallopian tube: 6.4	Group enriched	12	HAP1: 366.6;NTERA-2: 938.2
PPARG	NR1C3, PPARG1, PPARG2, PPARgamma	ENSG00000132170	Peroxisome proliferator activated receptor gamma	3	12287368-12434356	Cancer-related genes, Disease related genes, FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB004282, HPA051239, HPA063663	Approved		Enhanced	Nucleus<br>Vesicles	Renal cancer:1.59e-8 (favourable), Liver cancer:3.41e-5 (unfavourable), Urothelial cancer:5.52e-5 (favourable)	Expressed in all	Tissue enhanced		adipose tissue: 173.3	placenta: 59.2	Cell line enhanced		ASC diff: 131.6;BEWO: 223.4;RT4: 116.1
PPFIBP1	hSGT2, hSgt2p, L2, SGT2	ENSG00000110841	PPFIA binding protein 1	12	27523431-27695564	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001924	Uncertain		Approved	Plasma membrane<br>Cytosol	Renal cancer:5.11e-7 (favourable), Pancreatic cancer:2.56e-4 (unfavourable), Lung cancer:5.11e-4 (unfavourable), Endometrial cancer:6.29e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 106.4	Mixed		
PPM1D	PP2C-DELTA, Wip1	ENSG00000170836	Protein phosphatase, Mg2+/Mn2+ dependent 1D	17	60600183-60666280	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA022277	Uncertain		Approved	Endoplasmic reticulum	Colorectal cancer:3.52e-4 (favourable), Liver cancer:4.27e-4 (unfavourable)	Expressed in all	Mixed			testis: 9.6	Expressed in all		
PPP2R1A	PP2A-Aalpha, PP2AA, PR65A	ENSG00000105568	Protein phosphatase 2 scaffold subunit Aalpha	19	52190039-52229533	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB018599			Approved	Cytosol	Renal cancer:1.20e-4 (favourable), Liver cancer:1.76e-4 (unfavourable), Lung cancer:2.50e-4 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 207.6	Expressed in all		
PPP6C	PP6	ENSG00000119414	Protein phosphatase 6 catalytic subunit	9	125146573-125189939	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA050940	Uncertain				Renal cancer:4.50e-6 (favourable)	Expressed in all	Expressed in all			thyroid gland: 52.7	Expressed in all		
PRCC	RCCP1	ENSG00000143294	Papillary renal cell carcinoma (translocation-associated)	1	156750610-156800817	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB017151, HPA019463, HPA019481	Supported		Enhanced	Nuclear speckles	Renal cancer:8.99e-15 (unfavourable), Thyroid cancer:3.72e-4 (unfavourable), Endometrial cancer:5.55e-4 (unfavourable), Liver cancer:8.63e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 54.5	Expressed in all		
